DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
3595,2016-01-02T00:00:00,40,10,31,3,45,44,38,37
3597,2016-01-09T00:00:00,20,25,36,30,18,2,5,11
3599,2016-01-16T00:00:00,1,13,22,11,3,24,29,30
3601,2016-01-23T00:00:00,41,33,45,20,24,44,29,12
3603,2016-01-30T00:00:00,20,5,28,45,29,25,30,21
3605,2016-02-06T00:00:00,4,43,39,26,40,33,32,41
3607,2016-02-13T00:00:00,2,43,27,25,28,8,32,6
3609,2016-02-20T00:00:00,30,5,17,22,42,26,19,36
3611,2016-02-27T00:00:00,38,3,22,18,21,5,27,45
3613,2016-03-05T00:00:00,20,39,11,2,45,26,19,33
3615,2016-03-12T00:00:00,16,37,1,3,28,8,30,5
3617,2016-03-19T00:00:00,31,10,24,16,28,8,2,4
3619,2016-03-26T00:00:00,17,24,43,5,9,32,31,21
3621,2016-04-02T00:00:00,23,36,29,11,12,7,33,9
3623,2016-04-09T00:00:00,23,18,41,3,6,21,30,16
3625,2016-04-16T00:00:00,11,1,36,42,29,3,26,33
3627,2016-04-23T00:00:00,10,34,36,32,3,27,20,26
3629,2016-04-30T00:00:00,20,2,24,27,22,30,10,26
3631,2016-05-07T00:00:00,31,14,1,24,35,3,8,17
3633,2016-05-14T00:00:00,21,33,34,4,13,10,14,30
3635,2016-05-21T00:00:00,13,39,11,14,5,37,12,32
3637,2016-05-28T00:00:00,42,35,37,1,34,21,26,11
3639,2016-06-04T00:00:00,26,38,27,43,12,3,44,16
3641,2016-06-11T00:00:00,32,45,39,4,10,25,26,22
3643,2016-06-18T00:00:00,20,13,44,2,1,39,4,7
3645,2016-06-25T00:00:00,31,7,28,10,4,17,12,23
3647,2016-07-02T00:00:00,5,20,16,41,12,31,10,29
3649,2016-07-09T00:00:00,25,33,17,21,38,13,18,11
3651,2016-07-16T00:00:00,12,1,3,24,7,32,10,2
3653,2016-07-23T00:00:00,7,10,15,22,32,4,6,38
3655,2016-07-30T00:00:00,45,37,40,33,27,32,22,38
3657,2016-08-06T00:00:00,19,31,6,15,23,12,8,22
3659,2016-08-13T00:00:00,41,37,14,45,16,11,1,32
